ISO3,Pop,COUNTRY,bovinepppd,shoatpppd,pigpppd,poultrypppd,birdpppd,horsepppd,assespppd,mulespppd,camelpppd,rabbitpppd,rodentspppd,camelidspppd,gamepppd,driednespppd,nespppd,snailpppd,gamepcpa,allmeatpppd,allmeatpcpa,percent_game_pppd,percent_game_pcpa
BHS,393244,Bahamas,4.4394,0.93251,5.4465,17.728,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,28.54641,4100188.55183811,0,0
AUS,25499884,Australia,10.9155,4.0834,5.6066,14.5794,NA,0.79609,NA,NA,NA,0,NA,NA,0,0,0,NA,0,35.98099,335120918.75768465,0,0
IND,1380004385,India,0.43946,0.28096,0.099371,0.83598,NA,0,NA,NA,NA,0,NA,NA,NA,0,0.05723,NA,NA,1.713001,863432332.6238029,NA,NA
MOZ,31255435,Mozambique,0.32299,0.29818,1.315,0.59309,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,2.52926,28874152.63813852,NA,NA
MWI,19129952,Malawi,0.63168,0.66382,0.83764,0.49142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2.6245600000000002,18338364.916414082,NA,NA
LKA,21413249,Sri Lanka,0.46805,0.040785,0.0033124,2.2278,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2.7399473999999997,21429647.005913224,NA,NA
LBY,6871292,Libya,0.20448,0.18213,0.90695,2.5474,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,3.84096,9639808.65734688,NA,NA
TJK,9537645,Tajikistan,1.0359,1.9634,0.26917,1.0732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1222,NA,NA,4.46387,15550448.397791289,NA,NA
DJI,988000,Djibouti,2.3409,1.9027,0.04979,0.28468,NA,0.067805,NA,NA,NA,NA,NA,NA,NA,0,4.2544e-4,NA,NA,4.64630044,1676696.50088148,NA,NA
GNB,1968001,Guinea-Bissau,1.149,0.52182,2.7209,0.69815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5.0898699999999995,3658661.493515017,NA,NA
PAK,220892340,Pakistan,2.6554,0.99632,0,1.4658,NA,0,NA,NA,NA,0,NA,NA,NA,2.84e-5,0.056004,NA,NA,5.1735524,417407004.47218204,NA,NA
LAO,7275560,Lao People's Democratic Republic,1.9022,0.094708,2.1049,1.2349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5.336708,14181758.713429319,NA,NA
IRQ,40222493,Iraq,0.7103,0.64474,0,4.6615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4997e-4,NA,NA,6.0167899700000005,88394259.31765296,NA,NA
DZA,43851044,Algeria,1.3237,2.6081,0,2.3954,NA,0.0057657,NA,NA,NA,0.12532,NA,NA,NA,2.7837e-4,1.51e-5,NA,NA,6.45857917,103444439.22666131,NA,NA
SWZ,1136000,Swaziland,4.2189,0.67092,0.39539,1.7861,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,7.0713099999999995,2934056.2304399996,NA,NA
MDV,540544,Maldives,1.808,0.29869,0.3201,4.1766,NA,NA,NA,NA,NA,0.0016546,NA,NA,NA,0.1029,1.3647,NA,NA,8.0726446,1593812.0598724417,NA,NA
EGY,102334404,Egypt,3.5434,0.58646,0.002425,3.7531,0.081741,0,NA,NA,NA,0.3688,NA,NA,NA,0,0.095843,NA,NA,8.431769,315159635.19126683,NA,NA
