ISO3,COUNTRY,Population (2020),Days in year,Game_median_g_capita_day,Game_low95_g_capita_day,Game_high95_g_capita_day,Game_median_kg_country_year,AllMeat_median_kg_country_year,Perc_game,BovineMeat_median_g_capita_day,MuttonGoatMeat_median_g_capita_day,PigMeat_median_g_capita_day,PoultryMeat_median_g_capita_day,BirdMeatNES_median_g_capita_day,HorseMeat_median_g_capita_day,RabbitMeat_median_g_capita_day,RodentMeat_median_g_capita_day,CamelidMeat_median_g_capita_day,MeatDriedNES_median_g_capita_day,MeatNES_median_g_capita_day,SnailNotSeaMeat_median_g_capita_day
SEN,Senegal,16743927,365.15,0.0041859,0.0041859,0.0041859,25592.78073,88028668.94,0.029073234,1.5092,1.0188,0.25481,1.4268,0,0.31871,0,0,0,0.00015948,0.1784,0
SLB,Solomon Islands,686884,365.15,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,7976983,365.15,,,,,,,,,,,,,,,,,,
SLV,El Salvador,6486205,365.15,,,,0,,,2.3252,0.0082002,0.88048,5.7125,0,0,0,0,0,0,0,0
SOM,Somalia,15893222,365.15,,,,,,,,,,,,,,,,,,
SRB,Serbia,8737371,365.15,,,,,125826985.4,0,2.217,0.90701,6.659,3.5559,0,0,0,0,0,0,0,0
STP,Sao Tome & Principe,219159,365.15,,,,,,,,,,,,,,,,,,
SUR,Suriname,586632,365.15,,,,,,,3.6149,0.036901,2.8046,11.1246,0,0,0,0,0,0,0,0
SVK,Slovakia,5459642,365.15,0.084901,0.076731,0.088947,169257.6382,99158202.12,0.170694541,1.208,0.047354,8.4171,5.3048,0,0.011634,0.40169,0,0,1.3876,0.16219,0
SVN,Slovenia,2078938,365.15,0.018912,0.017092,0.019813,14356.55707,49831271.03,0.028810337,5.2923,0.33512,8.9773,7.6097,0,0.11198,0.017316,0,0,0.022091,0.030361,0
SWE,Sweden,10099265,365.15,1.2017,1.0861,1.259,4431565.107,247451521.5,1.790882141,6.5057,0.49175,9.2004,5.0818,0,0.10215,0.00087202,0,0,0.11759,0.02639,0
